Timeline,ID,Title,Author,Amazon Link
Legends,rebel-dawn,Rebel Dawn,A. C. Crispin,https://amzn.to/3PtknZh
Legends,dark-forces-soldier-for-the-empire,Dark Forces: Soldier for the Empire,William C. Dietz,https://amzn.to/4uT6ylX
Legends,tales-from-the-mos-eisley-cantina,Tales from the Mos Eisley Cantina,Various Authors,https://amzn.to/4fn5CBE
Legends,splinter-of-the-mind-s-eye,Splinter of the Mind’s Eye,Alan Dean Foster,https://amzn.to/4fpRQyd
Legends,razor-s-edge,Razor's Edge,Martha Wells,https://amzn.to/49CgU1f
Legends,star-wars-the-empire-strikes-back,Star Wars: The Empire Strikes Back,Donald F. Glut,https://amzn.to/42VcizP
Legends,shadows-of-the-empire,Shadows of the Empire,Steve Perry,https://amzn.to/4tyR9pL
Legends,the-mandalorian-armor,The Mandalorian Armor,K.W. Jeter,https://amzn.to/3PjXzLx
Legends,slave-ship,Slave Ship,K.W. Jeter,https://amzn.to/4fqFplH
Legends,hard-merchandise,Hard Merchandise,K.W. Jeter,https://amzn.to/49zEYSo
Legends,tales-from-the-empire,Tales from the Empire,Various Authors,https://amzn.to/4nxV4BX
Legends,dark-forces-rebel-agent,Dark Forces: Rebel Agent,William C. Dietz,https://amzn.to/3PKmGar
Legends,dark-forces-jedi-knight,Dark Forces: Jedi Knight,William C. Dietz,https://amzn.to/4wwZqgv
Legends,x-wing-rogue-squadron,X-Wing: Rogue Squadron,Michael Stackpole,https://amzn.to/3Plmhv2
Legends,x-wing-wedge-s-gamble,X-Wing: Wedge’s Gamble,Michael Stackpole,https://amzn.to/496aaIS
Legends,x-wing-the-krytos-trap,X-Wing: The Kryptos Trap,Michael Stackpole,https://amzn.to/4deh4hB
Legends,x-wing-the-bacta-war,X-Wing: The Bacta War,Michael Stackpole,https://amzn.to/4dq8GKL
Legends,x-wing-wraith-squadron,X-Wing: Wraith Squadron,Aaron Allston,https://amzn.to/3Rq0iDG
Legends,x-wing-solo-command,X-Wing: Solo Command,Aaron Allston,https://amzn.to/3P5Lae7
Legends,the-courtship-of-princess-leia,The Courtship of Princess Leia,Dave Wolverton,https://amzn.to/3RJKNGL
Legends,heir-to-the-empire,Heir to the Empire,Timothy Zahn,https://amzn.to/4wz3KMg
Legends,dark-force-rising,Dark Force Rising,Timothy Zahn,https://amzn.to/4uluO0i
Legends,the-last-command,The Last Command,Timothy Zahn,https://amzn.to/4uedlGR
Legends,x-wing-isard-s-revenge,X-Wing: Isard’s Revenge,Michael Stackpole,https://amzn.to/43bkqMt
Legends,jedi-search,Jedi Search,Kevin J. Anderson,https://amzn.to/490oF0W
Legends,dark-apprentice,Dark Apprentice,Kevin J. Anderson,https://amzn.to/4drN5Sh
Legends,champion-s-of-the-force,Champions of the Force,Kevin J. Anderson,https://amzn.to/43hzKah
Legends,planet-of-twilight,Planet of Twilight,Barbara Hambly,https://amzn.to/492llSR
Legends,before-the-storm,Before the Storm,Michael P. Kube-McDowell,https://amzn.to/4wzHAJX
Legends,shield-of-lies,Shield of Lies,Michael P. Kube-McDowell,https://amzn.to/4upEEhx
Legends,tyrant-s-test,Tyrant's Test,Michael P. Kube-McDowell,https://amzn.to/3R3MBKG
Legends,ambush-at-corellia,Ambush at Corellia,Roger McBride Allen,https://amzn.to/3PsJPhw
Legends,assault-at-selonia,Assault at Selonia,Roger McBride Allen,https://amzn.to/4wxubSx
Legends,showdown-at-centerpoint,Showdown at Centerpoint,Roger McBride Allen,https://amzn.to/4tBHhvi
Legends,specter-of-the-past,Specter of the Past,Timothy Zahn,https://amzn.to/42DifBe
Legends,vision-of-the-future,Vision of the Future,Timothy Zahn,https://amzn.to/3RJM0xN
Legends,star-by-star,Star by Star,Troy Denning,https://amzn.to/4nwkdgd
Canon,tales-of-light-and-life,Tales of Light and Life,Various Authors,https://amzn.to/4tBUhBq
Canon,convergence,Convergence,Zoraida Córdova,https://amzn.to/4ubETwq
Canon,path-of-deceit,Path of Deceit,"Tessa Gratton, Justina Ireland",https://amzn.to/3RaNzom
Canon,the-battle-of-jedha,The Battle of Jedha,George Mann,https://amzn.to/4dcqGtp
Canon,cataclysm,Cataclysm,Lydia Kang,https://amzn.to/43aZN2W
Canon,path-of-vengeance,Path of Vengeance,Cavan Scott,https://amzn.to/4nv2KVi
Canon,tales-of-enlightenment,Tales of Enlightenment,George Mann,https://amzn.to/4dvt90T
Canon,light-of-the-jedi,Light of the Jedi,Charles Soule,https://amzn.to/4tG5m4v
Canon,into-the-dark,Into the Dark,Claudia Gray,https://amzn.to/4nv2MMU
Canon,the-rising-storm,The Rising Storm,Cavan Scott,https://amzn.to/3Pu5hT8
Canon,out-of-the-shadows,Out of the Shadows,Justina Ireland,https://amzn.to/4ds2VMA
Canon,the-eye-of-darkness,The Eye of Darkness,George Mann,https://amzn.to/4nv2Oo0
Canon,tempest-runner,Tempest Runner,Cavan Scott,https://amzn.to/42BC0ch
Canon,the-fallen-star,The Fallen Star,Claudia Gray,https://amzn.to/491ip92
Canon,midnight-horizon,Midnight Horizon,Daniel José Older,https://amzn.to/4tLOJEA
Canon,starlight-stories,Starlight Stories,"Charles Soule, Cavan Scott, Justina Ireland",https://amzn.to/3PFrM7S
Canon,defy-the-storm,Defy the Storm,"Tessa Gratton, Justina Ireland",https://amzn.to/494UxRT
Canon,temptation-of-the-force,Temptation of the Force,Tessa Gratton,https://amzn.to/4uPFJ23
Canon,tears-of-the-nameless,Tears of the Nameless,George Mann,https://amzn.to/4tEokIK
Canon,tempest-breaker,Tempest Breaker,Cavan Scott,https://amzn.to/490KcGC
Canon,into-the-light,Into the Light,Claudia Gray,https://amzn.to/48ZYXtj
Canon,trials-of-the-jedi,Trials of the Jedi,Charles Soule,https://amzn.to/3PJzLke
Canon,the-acolyte-wayseeker,The Acolyte: Wayseeker,Justina Ireland,https://amzn.to/4ujgSUy
Canon,the-acolyte-the-crystal-crown,The Acolyte: The Crystal Crown,Tessa Gratton,https://amzn.to/4uIxx3s
Canon,padawan,Padawan,Kiersten White,https://amzn.to/4uOyEi2
Canon,master-apprentice,Master & Apprentice,Claudia Gray,https://amzn.to/48WS6AY
Canon,the-living-force,The Living Force,John Jackson Miller,https://amzn.to/4db8NuT
Canon,episode-i-the-phantom-menace,Star Wars: The Phantom Menace,Terry Brooks,https://amzn.to/4f8Zw8b
Canon,queen-s-peril,Queen's Peril,E.K. Johnston,https://amzn.to/4tGqQy7
Canon,mace-windu-the-glass-abyss,Mace Windu: The Glass Abyss,Steven Barnes,https://amzn.to/4tV9BJD
Canon,queen-s-shadow,Queen's Shadow,E.K. Johnston,https://amzn.to/3R9hwFo
Canon,dooku-jedi-lost,Dooku: Jedi Lost,Cavan Scott,https://amzn.to/49PnBwZ
Canon,episode-ii-attack-of-the-clones,Star Wars: Attack of the Clones,R.A. Salvatore,https://amzn.to/4uguBvl
Canon,queen-s-hope,Queen's Hope,E.K. Johnston,https://amzn.to/42BCoHL
Canon,brotherhood,Brotherhood,Mike Chen,https://amzn.to/4f6TBAv
Canon,thrawn-ascendancy-chaos-rising,Thrawn Ascendancy: Chaos Rising,Timothy Zahn,https://amzn.to/4uTaBPe
Canon,inquisitor-rise-of-the-red-blade,Inquisitor: Rise of the Red Blade,Delilah S. Dawson,https://amzn.to/48YbfT8
Canon,lords-of-the-sith,Lords of the Sith,Paul S. Kemp,https://amzn.to/42FjBvc
Canon,dark-disciple,Dark Disciple,Christie Golden,https://amzn.to/4uTebc8
Canon,episode-iii-revenge-of-the-sith,Star Wars: Revenge of the Sith,Matthew Stover,https://amzn.to/4tCS88r
Canon,reign-of-the-empire-the-mask-of-fear,Reign of the Empire: The Mask of Fear,Alexander Freed,https://amzn.to/4uPFeFa
Canon,sanctuary-a-bad-batch-novel,Sanctuary: A Bad Batch Novel,Lamar Giles,https://amzn.to/4nAJp5u
Canon,thrawn-ascendancy-greater-good,Thrawn Ascendancy: Greater Good,Timothy Zahn,https://amzn.to/49QSnWi
Canon,thrawn-ascendancy-lesser-evil,Thrawn Ascendancy: Lesser Evil,Timothy Zahn,https://amzn.to/4u81MRz
Canon,ahsoka,Ahsoka,E.K. Johnston,https://amzn.to/4dKqotL
Canon,catalyst-a-rogue-one-novel,Catalyst: A Rogue One Novel,James Luceno,https://amzn.to/4tG67dR
Canon,master-of-evil,Master of Evil,Adam Christopher,https://amzn.to/4ftdu4y
Canon,tarkin,Tarkin,James Luceno,https://amzn.to/3R5ZZOp
Canon,most-wanted,Most Wanted,Rae Carson,https://amzn.to/4eO6XBk
Canon,jedi-battle-scars,Jedi: Battle Scars,Sam Maggs,https://amzn.to/4nu2czh
Canon,a-new-dawn,A New Dawn,John Jackson Miller,https://amzn.to/4twDz6h
Canon,low-red-moon,Low Red Moon,Mike Chen,https://amzn.to/4uTeMdS
Canon,solo-a-star-wars-story,Solo: A Star Wars Story,Mur Lafferty,https://amzn.to/491je1C
Canon,crimson-climb,Crimson Climb,E.K. Johnston,https://amzn.to/4uOfyIU
Canon,reign-of-the-empire-edge-of-the-abyss,Reign of the Empire: Edge of the Abyss,Rebecca Roanhorse,https://amzn.to/49xhWvs
Canon,reign-of-the-empire-from-the-ashes,Reign of the Empire: From the Ashes,Fran Wilde,
Canon,leia-princess-of-alderaan,Leia: Princess of Alderaan,Claudia Gray,https://amzn.to/4wqgXqJ
Canon,thrawn,Thrawn,Timothy Zahn,https://amzn.to/4uklidS
Canon,thrawn-alliances,Thrawn: Alliances,Timothy Zahn,https://amzn.to/3Rc6mj9
Canon,thrawn-treason,Thrawn: Treason,Timothy Zahn,https://amzn.to/4nvDWwE
Canon,rebel-rising,Rebel Rising,Beth Revis,https://amzn.to/4dc7HyX
Canon,rogue-one-a-star-wars-story,Rogue One: A Star Wars Story,Alexander Freed,https://amzn.to/4ds37f1
Canon,star-wars-a-new-hope,Star Wars: A New Hope,George Lucas,https://amzn.to/4d8e06I
Canon,star-wars-from-a-certain-point-of-view,Star Wars: From a Certain Point of View,Various Authors,https://amzn.to/4nAE8ea
Canon,battlefront-ii-inferno-squad,Battlefront II: Inferno Squad,Christie Golden,https://amzn.to/4wlZGiq
Canon,heir-to-the-jedi,Heir to the Jedi,Kevin Hearne,https://amzn.to/4v9LnML
Canon,doctor-aphra,Doctor Aphra,Sarah Kuhn,https://amzn.to/3PqySNs
Canon,battlefront-twilight-company,Battlefront: Twilight Company,Alexander Freed,https://amzn.to/48Yox1R
Canon,star-wars-the-empire-strikes-back,Star Wars: The Empire Strikes Back,Donald F. Glut,https://amzn.to/42VcizP
